412
414
358	9
9	372
301	12
130	301
130	126
126	258
353	248
182	201
201	408
201	82
82	29
323	65
65	189
65	321
321	118
70	79
79	250
180	407
407	75
227	353
96	227
344	57
344	185
351	344
289	323
175	289
337	16
366	337
12	131
131	70
250	244
244	180
258	48
48	404
338	182
57	338
312	74
203	312
204	45
45	111
23	96
23	272
272	276
191	186
145	191
56	133
133	62
133	112
100	51
209	100
90	212
112	147
147	351
29	210
210	203
210	15
146	174
16	146
372	129
129	204
51	141
141	127
108	90
108	208
388	108
388	98
98	61
5	73
15	5
279	175
348	279
328	358
328	178
178	154
278	209
111	278
111	46
46	130
208	319
394	291
408	394
239	255
73	239
73	172
193	348
11	366
11	193
247	85
303	326
326	187
284	377
69	365
69	284
409	214
214	388
214	369
291	215
215	11
104	247
104	54
253	104
88	23
186	88
7	152
152	78
290	342
290	288
286	105
169	286
189	114
189	128
128	257
154	330
330	303
327	350
350	145
350	405
369	149
369	395
395	290
94	21
105	94
263	34
34	169
122	328
140	253
140	122
87	162
187	87
4	69
404	4
404	294
294	327
405	246
254	389
149	254
106	380
299	106
262	263
262	343
357	262
64	153
153	324
162	60
60	56
389	173
173	295
21	150
150	222
142	307
142	269
14	177
14	142
236	14
335	102
335	251
240	409
240	335
270	7
270	58
117	299
222	117
157	84
293	357
293	157
257	273
257	293
308	140
382	308
396	26
26	329
26	216
216	231
183	242
242	347
6	270
295	6
380	35
35	211
399	233
233	411
300	27
273	300
324	200
307	245
245	92
297	238
329	297
72	55
381	72
381	32
17	399
384	17
1	170
27	164
325	64
166	325
317	382
177	317
370	232
231	370
298	332
332	381
332	318
196	50
125	196
211	10
10	384
10	31
160	315
411	160
156	333
333	397
53	41
41	166
41	36
36	322
139	285
340	240
55	340
55	331
331	362
403	125
311	403
31	383
383	1
315	230
230	367
230	228
228	156
132	18
322	132
322	8
8	139
347	115
115	30
89	298
89	237
176	89
282	224
2	311
218	2
18	260
260	259
63	296
296	396
232	371
371	336
339	183
25	339
275	252
252	143
109	282
109	161
161	218
259	378
168	400
368	168
368	268
238	234
234	236
234	356
356	316
143	113
113	198
30	304
304	176
304	205
28	109
95	28
373	53
373	37
37	63
20	181
20	306
400	20
261	103
402	261
316	71
71	25
123	275
205	123
410	135
144	410
367	241
241	120
219	292
306	256
306	33
202	271
271	47
67	402
67	243
50	67
391	387
387	52
287	199
199	144
199	309
310	137
195	310
376	219
256	24
256	376
83	352
352	368
99	202
148	99
281	184
184	42
359	229
66	359
66	40
264	195
397	320
397	264
363	373
354	363
364	83
226	364
103	179
179	266
305	159
76	305
221	66
135	134
135	221
188	95
137	188
0	158
0	302
302	91
101	226
374	101
385	249
243	385
267	265
265	277
375	334
334	287
309	155
155	13
24	355
355	107
355	3
249	360
360	49
229	223
223	217
116	375
38	116
206	354
346	374
346	206
225	148
225	39
392	412
159	392
42	349
349	267
134	379
379	391
379	59
345	401
401	207
314	38
320	314
190	283
190	341
91	190
165	77
77	346
97	225
97	110
49	97
124	281
93	76
93	124
393	167
167	22
361	68
59	361
138	345
274	138
151	80
341	19
19	280
194	165
86	194
110	313
121	235
22	121
22	197
197	398
213	406
213	136
136	163
386	151
43	386
158	192
192	86
266	81
81	93
81	390
390	393
277	413
68	220
220	213
163	44
163	119
119	274
207	171
171	43
